N_e,N_b,M_e,M_b,K,p,c,t,rf,theta_e,theta_b,precision_e,precision_b,CF_BL,BL
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.7,10,10,0.23732253690831526,-323.55117083877974
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,10,10,0.23935511303317633,-326.3503734183224
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,100,1000,-2.9200205084288666e-07,-334.69494612597026
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,1000,10,-3.1107246927773024e-16,-338.64211843780527
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,100,10,-1.4012078600930813e-07,-330.397980513214
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,100,10,-2.9200205084282276e-07,-324.41137246814566
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,10,10,0.24039034887317132,-338.64857184607433
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,1000,10,-3.1107246927773024e-16,-394.57590320145437
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,1000,100,-0.0569395977851448,-323.0000000110957
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.6,100,100,-0.015485561952519438,-323.0000030441283
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.65,10,100,0.006794813650992413,-323.00645341936485
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,1000,1000,-8.300753542467176e-38,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,10,1000,0.02788945614025571,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,100,10,-6.640680793810534e-08,-355.6330749436137
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,1000,100,-1.3883635590423309e-05,-323.0003430416871
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.49999999999999994,100,100,-0.00022249806116527695,-323.0165191292454
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,1000,100,-2.2351982320641804e-10,-323.3619385373737
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.5499999999999999,10,100,0.14290581923364068,-323.00679644995614
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.44999999999999996,10,100,0.2114561756196496,-323.3683919456428
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,10,10,0.2374041150600599,-394.58235660972343
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,1000,100,-4.9683864162305173e-17,-372.814152479521
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,1000,100,-7.06111119725633e-24,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.39999999999999997,100,100,-1.2214034360298912e-06,-327.19771952775426
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,100,100,-1.2752282102518232e-12,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,10,100,0.23664038696527784,-372.8206058877901
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.35,100,10,-3.1082925354015336e-08,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,1000,100,-1.5539363694859364e-31,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,10,100,0.17536774924375428,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,100,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.1,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,1000,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,100,1000,9.845963808421825e-30,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,100,100,-1.3169034144329949e-09,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,1000,1000,-0.3999999999997759,-323.00000000091836
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,10,100,0.0712267963070627,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,1000,10,-4.9683864162305173e-17,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,1000,10,-7.692023340525357e-18,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,100,100,-3.560895912202111e-12,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.2,10,10,0.23351658325636107,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.15,100,10,-6.56017958397515e-09,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,10,100,0.21810387780742144,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.3,10,10,0.23555989043249295,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.25,100,10,-1.4369014734263648e-08,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.15,10,100,0.39967486071374,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,10,100,0.6403367089811018,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,1000,10,-4.727762456011518e-11,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,10,1000,0.0,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.1,100,10,-5.992812812118498e-06,0
1000,1000,100,100,600,1,0.6,0.08,0.05,0.05,0.95,1000,10,-1.8416841595757827e-12,-323.0003294756225
1000,1000,100,100,600,1,0.6,0.08,0.05,0.1,0.2,1000,100,-6.753886249540583e-18,0
